lga_name,distress_pct,life_satisfaction_pct,food_insecurity_pct,irsd_score,irsad_score,population
Alpine,14.15517,16.01745,7.569841,1028,989,13235
Ararat,15.89623,16.894,2.085013,955,932,11880
Ballarat,25.45854,17.12346,4.548621,986,965,113763
Banyule,22.92544,24.69716,4.570394,1058,1064,126236
Bass Coast,16.63371,15.97848,4.199694,993,957,40789
Baw Baw,26.50794,22.85487,6.23501,1003,971,57626
Benalla,18.75448,20.19763,5.13425,968,938,14528
Boroondara,20.39951,19.80847,3.019429,1090,1131,167900
Brimbank,25.29207,30.1444,10.39044,912,928,194618
Buloke,12.07596,12.637,10.96522,975,946,6178
Campaspe,19.98789,15.1324,7.437272,965,932,38735
Cardinia,20.32982,14.90603,5.686625,1021,993,118194
Casey,25.5475,27.57023,4.308758,995,986,365239
Central Goldfields,20.70374,16.43384,13.21505,898,867,13483
Corangamite,15.77009,18.18084,3.285171,985,955,16115
Darebin,30.89986,28.40599,4.505075,1018,1044,148570
East Gippsland,18.43955,16.40974,7.004921,963,931,48715
Frankston,24.4097,24.49448,7.610125,1003,982,139281
Gannawarra,15.43846,18.83675,4.719558,952,919,10683
Glen Eira,18.08177,19.15329,NA,1075,1103,148908
Glenelg,20.69524,10.76128,3.941737,952,919,20152
Golden Plains,23.68843,24.71545,9.943594,1040,997,24985
Greater Bendigo,24.17031,26.62396,10.56264,985,959,121470
Greater Dandenong,23.96686,26.29692,12.93365,887,918,158208
Greater Geelong,27.29202,21.76774,4.204161,1007,990,271057
Greater Shepparton,19.97524,17.04616,10.03869,944,931,68409
Hepburn,15.94092,17.55648,6.134536,1006,984,16604
Hindmarsh,23.47894,19.12588,4.803856,940,923,5698
Hobsons Bay,25.48586,21.49084,5.682952,1021,1034,91322
Horsham,17.78668,16.51557,4.214748,990,959,20429
Hume,23.41893,23.73009,5.216924,941,949,243901
Indigo,21.63612,15.1293,5.806463,1029,996,17368
Knox,27.48804,26.13616,5.613452,1042,1029,159103
Loddon,20.94599,17.37998,8.368137,948,925,7759
Macedon Ranges,15.79571,24.10142,NA,1063,1047,51458
Manningham,21.09178,19.38473,3.712933,1056,1075,124700
Mansfield,14.76848,17.97202,5.082873,1028,989,10178
Maribyrnong,23.33492,16.67277,7.976888,1010,1045,85209
Maroondah,24.40784,22.91436,4.073217,1041,1035,115043
Melbourne,22.08666,22.52831,5.24574,1017,1086,149615
Melton,21.35947,22.87149,7.05205,985,974,178960
Mildura,19.76087,18.03018,6.738512,940,922,56972
Mitchell,25.96763,22.33555,5.892753,1000,968,49460
Moira,16.21659,18.43997,9.345402,958,927,30522
Monash,22.30922,21.11116,5.263979,1042,1067,190397
Moonee Valley,21.21094,20.73657,6.721345,1041,1060,121851
Moorabool,23.08638,17.8419,5.667497,1017,987,37632
Moreland,28.83738,29.02021,5.180663,1027,1049,171357
Mornington Peninsula,26.24821,23.57345,6.868026,1038,1016,168948
Mount Alexander,16.35349,13.7997,8.262798,1007,987,20253
Moyne,15.02033,14.46636,7.51622,1029,998,17374
Murrindindi,17.78749,14.49931,6.011092,1005,971,15197
Nillumbik,15.7688,11.15763,4.040604,1093,1088,62895
Northern Grampians,26.03626,17.84542,5.014854,951,921,11948
Port Phillip,27.38101,27.79765,7.703284,1061,1106,101942
Pyrenees,22.02852,14.7849,1.393726,959,929,7671
Queenscliffe,9.708044,2.549784,NA,1082,1067,3276
South Gippsland,8.90528,10.1995,NA,1003,966,30577
Southern Grampians,12.79627,12.56557,4.813062,994,962,16588
Stonnington,20.09449,16.27193,NA,1084,1130,104703
Strathbogie,22.41903,17.66313,7.531461,982,954,11455
Surf Coast,15.50885,9.320056,NA,1086,1076,37694
Swan Hill,14.02543,9.34028,7.946706,941,927,21403
Towong,20.11799,19.14871,2.737127,1001,968,6223
Wangaratta,25.09766,18.35747,6.334902,988,957,29808
Warrnambool,22.07962,18.54816,6.580237,995,961,35406
Wellington,16.71396,17.21786,8.725109,973,943,45639
West Wimmera,15.13043,14.72046,NA,991,971,4006
Whitehorse,24.08257,22.37421,3.058107,1043,1067,169346
Whittlesea,30.59879,26.0208,10.01473,990,981,229396
Wodonga,21.25294,20.18049,10.96768,973,947,43253
Wyndham,24.60369,22.881710000000002,4.996215,1006,1004,292011
Yarra,19.74044,21.9469,5.331946,1046,1108,90114
Yarra Ranges,23.07984,19.41291,7.997188,1041,1014,156068
Yarriambiack,27.18633,22.46982,5.660023,946,923,6556
